,Size,Mult,Sum,Inv,Save
0,5,1.4543533325195312e-06,1.1920928955078125e-06,4.5299530029296875e-06,0.0001324892044067383
1,10,2.574920654296875e-06,1.049041748046875e-06,1.86920166015625e-05,0.0002469539642333984
2,15,8.249282836914063e-06,1.430511474609375e-06,0.00011851787567138672,0.00025286674499511717
3,20,1.2564659118652344e-05,1.7642974853515626e-06,0.0006693601608276367,0.00047512054443359374
4,25,1.6117095947265624e-05,2.1696090698242187e-06,0.0013254165649414062,0.0007561206817626953
5,30,2.2745132446289064e-05,7.82012939453125e-06,0.0019330263137817382,0.0009818792343139649
6,35,4.8065185546875e-05,1.1181831359863281e-05,0.002620029449462891,0.0006946325302124023
7,40,8.542537689208985e-05,1.4066696166992188e-05,0.003572559356689453,0.0007322311401367187
8,45,0.00011534690856933594,1.7094612121582032e-05,0.004606413841247559,0.0007824420928955079
9,50,0.00010445117950439454,2.040863037109375e-05,0.005797815322875976,0.002212929725646973
10,55,0.00014493465423583984,2.4938583374023436e-05,0.007120680809020996,0.002125263214111328
11,60,0.0001873016357421875,3.073215484619141e-05,0.008011579513549805,0.001466059684753418
12,65,0.00024199485778808594,3.359317779541016e-05,0.00895376205444336,0.0014789342880249024
13,70,0.00030214786529541015,3.881454467773438e-05,0.009870100021362304,0.0016664981842041016
14,75,0.00037686824798583985,5.130767822265625e-05,0.011073613166809082,0.0020975112915039063
15,80,0.0004702329635620117,5.1641464233398436e-05,0.012162995338439942,0.0021538734436035156
16,85,0.0005382537841796875,6.110668182373047e-05,0.013345479965209961,0.003934669494628906
17,90,0.0006673336029052734,6.73532485961914e-05,0.014641165733337402,0.0039796590805053714
18,95,0.0007758378982543945,7.143020629882813e-05,0.01675703525543213,0.004479742050170899
19,100,0.0009186744689941406,7.939338684082031e-05,0.018268704414367676,0.003638625144958496
20,105,0.0010483264923095703,8.974075317382812e-05,0.01984705924987793,0.0038055658340454103
21,110,0.0012131690979003905,9.539127349853516e-05,0.02168400287628174,0.004040169715881348
22,115,0.0013729095458984374,0.00010383129119873047,0.02353360652923584,0.004465293884277344
23,120,0.0015903472900390624,0.00011262893676757812,0.025354504585266113,0.004836654663085938
24,125,0.0017831563949584962,0.00013442039489746093,0.027377629280090333,0.005255889892578125
25,130,0.0020192623138427734,0.00013632774353027343,0.03405632972717285,0.005644369125366211
26,135,0.0022620201110839845,0.00014653205871582032,0.03643679618835449,0.0078291654586792
27,140,0.0025444269180297852,0.00015866756439208984,0.03917350769042969,0.007414054870605469
28,145,0.002801847457885742,0.00016388893127441406,0.04236438274383545,0.007012557983398437
